"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"ANT1";"WIFI_ANT_ESP8266";"WIFI_ANT_ESP8266";"ESP8266_ANT";"";"";"";"";"";"";"";"";"";"";"";
"AREF_EN";"Close";"SJSJ_1_SMALLER_CLOSE";"SJ_1_SMALLER_CLOSE";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";
"B0_1/B0_1";"HN1x3(B0_1:Open;B0_0:Close)";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";
"B1_1/B1_1";"HN1x3(B1_1:Open;B1_0:Close)";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";"";"";"";
"BOOT";"HN1X4";"CON4HN1X4";"HN1X4";"";"";"";"";"";"";"";"";"";"";"";
"C1";"2.2uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C2";"10uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C3";"10uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C4";"10uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C5";"10uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C6";"10uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C7";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
